met,Feature Dataset,Feature Class,SourceAttribute,DestinationAttribute,String Type,Definition,Notes
MTA.MuniForward_TPP_segmentGIS_UPDATE,MTA.Transit,MTA.MuniForward_TPP_segment,GIS_UPDATE,Do Not Publish,, Date project was created in feature class,
MTA.MuniForward_TPP_segmentGIS_KEY,MTA.Transit,MTA.MuniForward_TPP_segment,GIS_KEY,Do Not Publish,, Assigned number to link feature class and external google spreadsheet,
MTA.MuniForward_TPP_segmentIMP_TYPE,MTA.Transit,MTA.MuniForward_TPP_segment,IMP_TYPE,Improvement Type,,,
MTA.MuniForward_TPP_segmentSHAPE,MTA.Transit,MTA.MuniForward_TPP_segment,SHAPE,Do Not Publish,,,
MTA.MuniForward_TPP_segmentCREATED_USER,MTA.Transit,MTA.MuniForward_TPP_segment,CREATED_USER,Do Not Publish,,,
MTA.MuniForward_TPP_segmentCREATED_DATE,MTA.Transit,MTA.MuniForward_TPP_segment,CREATED_DATE,Do Not Publish,,,
MTA.MuniForward_TPP_segmentLAST_EDITED_USER,MTA.Transit,MTA.MuniForward_TPP_segment,LAST_EDITED_USER,Do Not Publish,,,
MTA.MuniForward_TPP_segmentLAST_EDITED_DATE,MTA.Transit,MTA.MuniForward_TPP_segment,LAST_EDITED_DATE,Last Edited Date,,,
MTA.MuniForward_TPP_segmentSHAPE.LEN,MTA.Transit,MTA.MuniForward_TPP_segment,SHAPE.LEN,Do Not Publish,,,
MTA.Muni_simpleroutesOBJECTID,MTA.Transit,MTA.Muni_simpleroutes,OBJECTID,Do Not Publish,,,
MTA.Muni_simpleroutesPATTERNID,MTA.Transit,MTA.Muni_simpleroutes,PATTERNID,Pattern ID,,,
MTA.Muni_simpleroutesROUTE_NAME,MTA.Transit,MTA.Muni_simpleroutes,ROUTE_NAME,Route Name,,,
MTA.Muni_simpleroutesDIRECTION,MTA.Transit,MTA.Muni_simpleroutes,DIRECTION,Direction,,,
MTA.Muni_simpleroutesPATTERN_TY,MTA.Transit,MTA.Muni_simpleroutes,PATTERN_TY,Pattern Type,,,
MTA.Muni_simpleroutesSUB_TYPE,MTA.Transit,MTA.Muni_simpleroutes,SUB_TYPE,Pattern Sub Type,,,
MTA.Muni_simpleroutesPATTERN_VE,MTA.Transit,MTA.Muni_simpleroutes,PATTERN_VE,Pattern Version,,,
MTA.Muni_simpleroutesLINEABBR,MTA.Transit,MTA.Muni_simpleroutes,LINEABBR,Line ID,,,
MTA.Muni_simpleroutesSIGNID,MTA.Transit,MTA.Muni_simpleroutes,SIGNID,Signup ID,,,
MTA.Muni_simpleroutesCREATE_TIM,MTA.Transit,MTA.Muni_simpleroutes,CREATE_TIM,Do Not Publish,,,
MTA.Muni_simpleroutesSDE_ID,MTA.Transit,MTA.Muni_simpleroutes,SDE_ID,Do Not Publish,,,
MTA.Muni_simpleroutesSERVICE_CA,MTA.Transit,MTA.Muni_simpleroutes,SERVICE_CA,Service Category,,,
MTA.Muni_simpleroutesCREATED_USER,MTA.Transit,MTA.Muni_simpleroutes,CREATED_USER,Do Not Publish,,,
MTA.Muni_simpleroutesCREATED_DATE,MTA.Transit,MTA.Muni_simpleroutes,CREATED_DATE,Do Not Publish,,,
MTA.Muni_simpleroutesLAST_EDITED_USER,MTA.Transit,MTA.Muni_simpleroutes,LAST_EDITED_USER,Do Not Publish,,,
MTA.Muni_simpleroutesLAST_EDITED_DATE,MTA.Transit,MTA.Muni_simpleroutes,LAST_EDITED_DATE,Last Edited Date,,,
MTA.Muni_stopsOBJECTID,MTA.Transit,MTA.Muni_stops,OBJECTID,Do Not Publish,,,
MTA.Muni_stopsSTOPNAME,MTA.Transit,MTA.Muni_stops,STOPNAME,Stop Name,, Name identifier of stop,
MTA.Muni_stopsTRAPEZESTOPABBR,MTA.Transit,MTA.Muni_stops,TRAPEZESTOPABBR,Trapeze Stop ID,,,
MTA.Muni_stopsRUCUSSTOPABBR,MTA.Transit,MTA.Muni_stops,RUCUSSTOPABBR,Rucus Stop ID,,,
MTA.Muni_stopsSTOPID,MTA.Transit,MTA.Muni_stops,STOPID,Stop ID,, Unique ID of stop,
MTA.Muni_stopsLATITUDE,MTA.Transit,MTA.Muni_stops,LATITUDE,Latitude,, Latitude coordinates of stop location,
MTA.Muni_stopsLONGITUDE,MTA.Transit,MTA.Muni_stops,LONGITUDE,Longitude,, Longitude coordinates of stop location,
MTA.Muni_stopsACCESSIBILITYMASK,MTA.Transit,MTA.Muni_stops,ACCESSIBILITYMASK,Accessibility,,,
MTA.Muni_stopsATSTREET,MTA.Transit,MTA.Muni_stops,ATSTREET,At Street,,,
MTA.Muni_stopsONSTREET,MTA.Transit,MTA.Muni_stops,ONSTREET,On Street,,,
MTA.Muni_stopsPOSITION,MTA.Transit,MTA.Muni_stops,POSITION,Position,,,
MTA.Muni_stopsORIENTATION,MTA.Transit,MTA.Muni_stops,ORIENTATION,Orientation,,,
MTA.Muni_stopsSERVICEPLANNINGSTOPTYPE,MTA.Transit,MTA.Muni_stops,SERVICEPLANNINGSTOPTYPE,Service Planning Stop Type,,,
MTA.Muni_stopsSHELTER,MTA.Transit,MTA.Muni_stops,SHELTER,Shelter,," 0=no shelter, 1=shelter at stop",
MTA.Muni_stopsINSERT_TIMESTAMP,MTA.Transit,MTA.Muni_stops,INSERT_TIMESTAMP,Do Not Publish,,,
MTA.Muni_stopsSDE_ID,MTA.Transit,MTA.Muni_stops,SDE_ID,Do Not Publish,, System generated stop id used by the old ESRI SDE software,
MTA.Muni_stopsSIGNUPID,MTA.Transit,MTA.Muni_stops,SIGNUPID,Signup ID,, Indicates which “Sign-up” the stops are representing,
MTA.Muni_stopsSUPERVISOR_DISTRICT,MTA.Transit,MTA.Muni_stops,SUPERVISOR_DISTRICT,Supervisor District,,,
MTA.Muni_stopsCREATED_USER,MTA.Transit,MTA.Muni_stops,CREATED_USER,Do Not Publish,,,
MTA.Muni_stopsCREATED_DATE,MTA.Transit,MTA.Muni_stops,CREATED_DATE,Do Not Publish,,,
MTA.Muni_stopsLAST_EDITED_USER,MTA.Transit,MTA.Muni_stops,LAST_EDITED_USER,Do Not Publish,,,
MTA.Muni_stopsLAST_EDITED_DATE,MTA.Transit,MTA.Muni_stops,LAST_EDITED_DATE,Last Edited Date,,,
MTA.MuniForward_TPP_intrsctnOBJECTID,MTA.Transit,MTA.MuniForward_TPP_intrsctn,OBJECTID,Object ID,,,
MTA.MuniForward_TPP_intrsctnROUTE,MTA.Transit,MTA.MuniForward_TPP_intrsctn,ROUTE,Route,, Muni transit route,
MTA.MuniForward_TPP_intrsctnPROJECT_NA,MTA.Transit,MTA.MuniForward_TPP_intrsctn,PROJECT_NA,Project Name,,,
MTA.MuniForward_TPP_intrsctnLIMIT_STAR,MTA.Transit,MTA.MuniForward_TPP_intrsctn,LIMIT_STAR,Start Project Location,,,
MTA.MuniForward_TPP_intrsctnLIMIT_END,MTA.Transit,MTA.MuniForward_TPP_intrsctn,LIMIT_END,End Project Location,, End of project location following the route path,
MTA.MuniForward_TPP_intrsctnGIS_UPDATE,MTA.Transit,MTA.MuniForward_TPP_intrsctn,GIS_UPDATE,Do Not Publish,, Date project was created in feature class,
MTA.MuniForward_TPP_intrsctnGIS_KEY,MTA.Transit,MTA.MuniForward_TPP_intrsctn,GIS_KEY,Do Not Publish,, Assigned number to link feature class and external google spreadsheet,
MTA.MuniForward_TPP_intrsctnIMP_TYPE,MTA.Transit,MTA.MuniForward_TPP_intrsctn,IMP_TYPE,Improvement Type,,,
MTA.MuniForward_TPP_intrsctnSHAPE,MTA.Transit,MTA.MuniForward_TPP_intrsctn,SHAPE,Do Not Publish,,,
MTA.MuniForward_TPP_intrsctnCREATED_USER,MTA.Transit,MTA.MuniForward_TPP_intrsctn,CREATED_USER,Do Not Publish,,,
MTA.MuniForward_TPP_intrsctnCREATED_DATE,MTA.Transit,MTA.MuniForward_TPP_intrsctn,CREATED_DATE,Do Not Publish,,,
MTA.MuniForward_TPP_intrsctnLAST_EDITED_USER,MTA.Transit,MTA.MuniForward_TPP_intrsctn,LAST_EDITED_USER,Do Not Publish,,,
MTA.MuniForward_TPP_intrsctnLAST_EDITED_DATE,MTA.Transit,MTA.MuniForward_TPP_intrsctn,LAST_EDITED_DATE,Last Edited Date,,,
MTA.parkingcensus_onstreetOBJECTID_1,MTA.Parking,MTA.parkingcensus_onstreet,OBJECTID_1,Object ID,,,
MTA.parkingcensus_onstreetCNN,MTA.Parking,MTA.parkingcensus_onstreet,CNN,CNN ID,,,
MTA.parkingcensus_onstreetST_NAME,MTA.Parking,MTA.parkingcensus_onstreet,ST_NAME,Street Name,,,
MTA.parkingcensus_onstreetST_TYPE,MTA.Parking,MTA.parkingcensus_onstreet,ST_TYPE,Street Type,,,
MTA.parkingcensus_onstreetDISTRICT,MTA.Parking,MTA.parkingcensus_onstreet,DISTRICT,Supervisor District,,,
MTA.parkingcensus_onstreetLAYER,MTA.Parking,MTA.parkingcensus_onstreet,LAYER,Layer Input,,,
MTA.parkingcensus_onstreetCOLLECTN,MTA.Parking,MTA.parkingcensus_onstreet,COLLECTN,Collection Method,,,
MTA.parkingcensus_onstreetDATETEXT,MTA.Parking,MTA.parkingcensus_onstreet,DATETEXT,Missing,,,
MTA.parkingcensus_onstreetPRKG_SPLY,MTA.Parking,MTA.parkingcensus_onstreet,PRKG_SPLY,Parking Supply,,,
MTA.parkingcensus_onstreetYEAR,MTA.Parking,MTA.parkingcensus_onstreet,YEAR,Year,,,
MTA.parkingcensus_onstreetSHAPE,MTA.Parking,MTA.parkingcensus_onstreet,SHAPE,Do Not Publish,,,
MTA.parkingcensus_onstreetCREATED_USER,MTA.Parking,MTA.parkingcensus_onstreet,CREATED_USER,Do Not Publish,,,
MTA.parkingcensus_onstreetCREATED_DATE,MTA.Parking,MTA.parkingcensus_onstreet,CREATED_DATE,Do Not Publish,,,
MTA.parkingcensus_onstreetLAST_EDITED_USER,MTA.Parking,MTA.parkingcensus_onstreet,LAST_EDITED_USER,Do Not Publish,,,
MTA.parkingcensus_onstreetLAST_EDITED_DATE,MTA.Parking,MTA.parkingcensus_onstreet,LAST_EDITED_DATE,Last Edited Date,,,
MTA.parkingcensus_onstreetSHAPE.LEN,MTA.Parking,MTA.parkingcensus_onstreet,SHAPE.LEN,Do Not Publish,,,
MTA.parkingcensus_offstreetOBJECTID,MTA.Parking,MTA.parkingcensus_offstreet,OBJECTID,Object ID,,,
MTA.parkingcensus_offstreetOLDHOURS,MTA.Parking,MTA.parkingcensus_offstreet,OLDHOURS,OLDHOURS,,,
MTA.parkingcensus_offstreetOFF_ID_1,MTA.Parking,MTA.parkingcensus_offstreet,OFF_ID_1,OFF_ID_1,,,
MTA.parkingcensus_offstreetASSESSOR_1,MTA.Parking,MTA.parkingcensus_offstreet,ASSESSOR_1,ASSESSOR_1,,,
MTA.parkingcensus_offstreetNAME1_1,MTA.Parking,MTA.parkingcensus_offstreet,NAME1_1,NAME1_1,,,
MTA.parkingcensus_offstreetNAME2_1,MTA.Parking,MTA.parkingcensus_offstreet,NAME2_1,NAME2_1,,,
MTA.parkingcensus_offstreetAGENCY_1,MTA.Parking,MTA.parkingcensus_offstreet,AGENCY_1,Agency,,,
MTA.parkingcensus_offstreetADDRESS_1,MTA.Parking,MTA.parkingcensus_offstreet,ADDRESS_1,Address,,,
MTA.parkingcensus_offstreetG_L_1,MTA.Parking,MTA.parkingcensus_offstreet,G_L_1,G_L_1,,,
MTA.parkingcensus_offstreetPRIMETYP_1,MTA.Parking,MTA.parkingcensus_offstreet,PRIMETYP_1,Primary Type,,,
MTA.parkingcensus_offstreetSECONDTY_1,MTA.Parking,MTA.parkingcensus_offstreet,SECONDTY_1,Secondary Type,,,
MTA.parkingcensus_offstreetDEFINITI_1,MTA.Parking,MTA.parkingcensus_offstreet,DEFINITI_1,DEFINITI_1,,,
MTA.parkingcensus_offstreetREGCAP_1,MTA.Parking,MTA.parkingcensus_offstreet,REGCAP_1,Regular Capacity,,,
MTA.parkingcensus_offstreetVALETCAP_1,MTA.Parking,MTA.parkingcensus_offstreet,VALETCAP_1,Valet Capacity,,,
MTA.parkingcensus_offstreetMC_CAP_1,MTA.Parking,MTA.parkingcensus_offstreet,MC_CAP_1,MC_CAP_1,,,
MTA.parkingcensus_offstreetOLDHOURS_1,MTA.Parking,MTA.parkingcensus_offstreet,OLDHOURS_1,OLDHOURS_1,,,
MTA.parkingcensus_offstreetMONOPEN,MTA.Parking,MTA.parkingcensus_offstreet,MONOPEN,Monday Open Time,,,
MTA.parkingcensus_offstreetMONCLOSE,MTA.Parking,MTA.parkingcensus_offstreet,MONCLOSE,Monday Close Time,,,
MTA.parkingcensus_offstreetTUESOPEN,MTA.Parking,MTA.parkingcensus_offstreet,TUESOPEN,Tuesday Open Time,,,
MTA.parkingcensus_offstreetTUESCLOSE,MTA.Parking,MTA.parkingcensus_offstreet,TUESCLOSE,Tuesday Close Time,," For lots/garaged surveyed since 2011, closing hours on Tuesday, military time",
MTA.parkingcensus_offstreetWEDOPEN,MTA.Parking,MTA.parkingcensus_offstreet,WEDOPEN,Wednesday Open Time,,,
MTA.parkingcensus_offstreetWEDCLOSE,MTA.Parking,MTA.parkingcensus_offstreet,WEDCLOSE,Wednesday Close Time,,,
MTA.parkingcensus_offstreetTHURSOPEN,MTA.Parking,MTA.parkingcensus_offstreet,THURSOPEN,Thursday Open Time,,,
MTA.parkingcensus_offstreetTHURSCLOSE,MTA.Parking,MTA.parkingcensus_offstreet,THURSCLOSE,Thursday Close Time,,,
MTA.parkingcensus_offstreetFRIOPEN,MTA.Parking,MTA.parkingcensus_offstreet,FRIOPEN,Friday Open Time,,,
MTA.parkingcensus_offstreetFRICLOSED,MTA.Parking,MTA.parkingcensus_offstreet,FRICLOSED,Friday Close Time,,,
MTA.parkingcensus_offstreetSATOPEN,MTA.Parking,MTA.parkingcensus_offstreet,SATOPEN,Saturday Open Time,,,
MTA.parkingcensus_offstreetSATCLOSE,MTA.Parking,MTA.parkingcensus_offstreet,SATCLOSE,Saturday Close Time,,,
MTA.parkingcensus_offstreetSUNOPEN,MTA.Parking,MTA.parkingcensus_offstreet,SUNOPEN,Sunday Open Time,,,
MTA.parkingcensus_offstreetSUNCLOSE,MTA.Parking,MTA.parkingcensus_offstreet,SUNCLOSE,Sunday Close Time,,,
MTA.parkingcensus_offstreetREGMONTH_1,MTA.Parking,MTA.parkingcensus_offstreet,REGMONTH_1,REGMONTH_1,,,
MTA.parkingcensus_offstreetASSIGNMT_1,MTA.Parking,MTA.parkingcensus_offstreet,ASSIGNMT_1,ASSIGNMT_1,,,
MTA.parkingcensus_offstreetDAILYFLA_1,MTA.Parking,MTA.parkingcensus_offstreet,DAILYFLA_1,DAILYFLA_1,,,
MTA.parkingcensus_offstreetDAILYSTART,MTA.Parking,MTA.parkingcensus_offstreet,DAILYSTART,Daily Start,,,
MTA.parkingcensus_offstreetDAILYEND,MTA.Parking,MTA.parkingcensus_offstreet,DAILYEND,Daily End,,,
MTA.parkingcensus_offstreetEVEFLAT_1,MTA.Parking,MTA.parkingcensus_offstreet,EVEFLAT_1,EVEFLAT_1,,,
MTA.parkingcensus_offstreetEVESTART,MTA.Parking,MTA.parkingcensus_offstreet,EVESTART,Evening Start,,,
MTA.parkingcensus_offstreetEVEEND,MTA.Parking,MTA.parkingcensus_offstreet,EVEEND,Evening End,,,
MTA.parkingcensus_offstreetEARLYBIRD1,MTA.Parking,MTA.parkingcensus_offstreet,EARLYBIRD1,Early Bird Rate 1,,,
MTA.parkingcensus_offstreetEARLY1STAR,MTA.Parking,MTA.parkingcensus_offstreet,EARLY1STAR,Early Bird Rate 1 Start Time,,,
MTA.parkingcensus_offstreetEARLY1END,MTA.Parking,MTA.parkingcensus_offstreet,EARLY1END,Early Bird Rate 1 EndTime,, Either arrive by time or leave after time to receive Early bird rate #1,
MTA.parkingcensus_offstreetEARLYBIRD2,MTA.Parking,MTA.parkingcensus_offstreet,EARLYBIRD2,Early Bird Rate 2,, Early bird rate #2,
MTA.parkingcensus_offstreetEARLY2STAR,MTA.Parking,MTA.parkingcensus_offstreet,EARLY2STAR,Early Bird Rate 2 Start Time,, Arrival time requirement to receive Early bird rate #2,
MTA.parkingcensus_offstreetEARLY2END,MTA.Parking,MTA.parkingcensus_offstreet,EARLY2END,Early Bird Rate 2 EndTime,, Either arrive by time or leave after time to receive Early bird rate #2,
MTA.parkingcensus_offstreetONEHR_1,MTA.Parking,MTA.parkingcensus_offstreet,ONEHR_1,ONEHR_1,,,
MTA.parkingcensus_offstreetTWOHR_1,MTA.Parking,MTA.parkingcensus_offstreet,TWOHR_1,TWOHR_1,,,
MTA.parkingcensus_offstreetTHREEHR_1,MTA.Parking,MTA.parkingcensus_offstreet,THREEHR_1,THREEHR_1,,,
MTA.parkingcensus_offstreetFOURHR_1,MTA.Parking,MTA.parkingcensus_offstreet,FOURHR_1,FOURHR_1,,,
MTA.parkingcensus_offstreetTWELVEHR_1,MTA.Parking,MTA.parkingcensus_offstreet,TWELVEHR_1,TWELVEHR_1,,,
MTA.parkingcensus_offstreetDAILYMAX_1,MTA.Parking,MTA.parkingcensus_offstreet,DAILYMAX_1,DAILYMAX_1,,,
MTA.parkingcensus_offstreetVER_DATE_1,MTA.Parking,MTA.parkingcensus_offstreet,VER_DATE_1,Verified Date,,,
MTA.parkingcensus_offstreetVERIFIER_1,MTA.Parking,MTA.parkingcensus_offstreet,VERIFIER_1,Do Not Publish,,,
MTA.parkingcensus_offstreetNOTES_1,MTA.Parking,MTA.parkingcensus_offstreet,NOTES_1,Notes,,,
MTA.parkingcensus_offstreetLOTGONE,MTA.Parking,MTA.parkingcensus_offstreet,LOTGONE,LOTGONE,,,
MTA.parkingcensus_offstreetOWNER,MTA.Parking,MTA.parkingcensus_offstreet,OWNER,Owner,,,
MTA.parkingcensus_offstreetSHAPE,MTA.Parking,MTA.parkingcensus_offstreet,SHAPE,Do Not Publish,,,
MTA.parkingcensus_offstreetCREATED_USER,MTA.Parking,MTA.parkingcensus_offstreet,CREATED_USER,Do Not Publish,,,
MTA.parkingcensus_offstreetCREATED_DATE,MTA.Parking,MTA.parkingcensus_offstreet,CREATED_DATE,Do Not Publish,,,
MTA.parkingcensus_offstreetLAST_EDITED_USER,MTA.Parking,MTA.parkingcensus_offstreet,LAST_EDITED_USER,Do Not Publish,,,
MTA.parkingcensus_offstreetLAST_EDITED_DATE,MTA.Parking,MTA.parkingcensus_offstreet,LAST_EDITED_DATE,Last Edited Date,,,
MTA.garagesignage_VMSOBJECTID,MTA.Parking,MTA.garagesignage_VMS,OBJECTID,Object ID,,,
MTA.garagesignage_VMSDESTINATIO,MTA.Parking,MTA.garagesignage_VMS,DESTINATIO,Destination,,,
MTA.garagesignage_VMSKENCODE,MTA.Parking,MTA.garagesignage_VMS,KENCODE,Do Not Publish,, undocumented,
MTA.garagesignage_VMSTRAVDIRECT,MTA.Parking,MTA.garagesignage_VMS,TRAVDIRECT,Traveling Direction,, Direction of street that sign is located on,
MTA.garagesignage_VMSTRAVDIRANG,MTA.Parking,MTA.garagesignage_VMS,TRAVDIRANG,Traveling Direction Angle,, Angle of arrow for symbology purposes (0 to 360),
MTA.garagesignage_VMSSHAPE,MTA.Parking,MTA.garagesignage_VMS,SHAPE,Do Not Publish,,,
MTA.garagesignage_VMSDESTNAME,MTA.Parking,MTA.garagesignage_VMS,DESTNAME,Destination Name,, Name of garages that the VMS shows parking availabiltiy information for,
MTA.garagesignage_VMSCREATED_USER,MTA.Parking,MTA.garagesignage_VMS,CREATED_USER,Do Not Publish,,,
MTA.garagesignage_VMSCREATED_DATE,MTA.Parking,MTA.garagesignage_VMS,CREATED_DATE,Do Not Publish,,,
MTA.garagesignage_VMSLAST_EDITED_USER,MTA.Parking,MTA.garagesignage_VMS,LAST_EDITED_USER,Do Not Publish,,,
MTA.garagesignage_VMSLAST_EDITED_DATE,MTA.Parking,MTA.garagesignage_VMS,LAST_EDITED_DATE,Last Edited Date,,,
MTA.motorcycleparking_unmeteredOBJECTID,MTA.Parking,MTA.motorcycleparking_unmetered,OBJECTID,Object ID,,,
MTA.motorcycleparking_unmeteredID,MTA.Parking,MTA.motorcycleparking_unmetered,ID,Do Not Publish,,,
MTA.motorcycleparking_unmeteredSTREET,MTA.Parking,MTA.motorcycleparking_unmetered,STREET,Street,,,
MTA.motorcycleparking_unmeteredSIDE,MTA.Parking,MTA.motorcycleparking_unmetered,SIDE,Side of Street,,,
MTA.motorcycleparking_unmeteredLOCATION_,MTA.Parking,MTA.motorcycleparking_unmetered,LOCATION_,Location,,,
MTA.motorcycleparking_unmeteredZ_OF_UNMET,MTA.Parking,MTA.motorcycleparking_unmetered,Z_OF_UNMET,Number of Spaces,,,
MTA.motorcycleparking_unmeteredLEGISLATIO,MTA.Parking,MTA.motorcycleparking_unmetered,LEGISLATIO,Legislation,,,
MTA.motorcycleparking_unmeteredDESCRIPTIO,MTA.Parking,MTA.motorcycleparking_unmetered,DESCRIPTIO,Description,,,
MTA.motorcycleparking_unmeteredLEG_DATE,MTA.Parking,MTA.motorcycleparking_unmetered,LEG_DATE,Legislation Date,,,
MTA.motorcycleparking_unmeteredSHAPE,MTA.Parking,MTA.motorcycleparking_unmetered,SHAPE,Do Not Publish,,,
MTA.motorcycleparking_unmeteredCREATED_USER,MTA.Parking,MTA.motorcycleparking_unmetered,CREATED_USER,Do Not Publish,,,
MTA.motorcycleparking_unmeteredCREATED_DATE,MTA.Parking,MTA.motorcycleparking_unmetered,CREATED_DATE,Do Not Publish,,,
MTA.motorcycleparking_unmeteredLAST_EDITED_USER,MTA.Parking,MTA.motorcycleparking_unmetered,LAST_EDITED_USER,Do Not Publish,,,
MTA.motorcycleparking_unmeteredLAST_EDITED_DATE,MTA.Parking,MTA.motorcycleparking_unmetered,LAST_EDITED_DATE,Last Edited Date,,,Lots of nulls
MTA.meteredblockfacesOBJECTID,MTA.Parking,MTA.meteredblockfaces,OBJECTID,Object ID,,,
MTA.meteredblockfacesBLOCKFACE_ID,MTA.Parking,MTA.meteredblockfaces,BLOCKFACE_ID,Blockface ID,," Unique ID for each blockface, coresponds to all SFpark geography levels  (meter post ID, block ID, PMD ID)",
MTA.meteredblockfacesAREA_TYPE,MTA.Parking,MTA.meteredblockfaces,AREA_TYPE,Area Type,,,
MTA.meteredblockfacesPM_DISTRICT_ID,MTA.Parking,MTA.meteredblockfaces,PM_DISTRICT_ID,PM District ID,,,
MTA.meteredblockfacesBLOCK_NUM,MTA.Parking,MTA.meteredblockfaces,BLOCK_NUM,Block Number,,,
MTA.meteredblockfacesBLOCK_ID,MTA.Parking,MTA.meteredblockfaces,BLOCK_ID,Block ID,,,
MTA.meteredblockfacesSTREET_ID,MTA.Parking,MTA.meteredblockfaces,STREET_ID,Street ID,,,
MTA.meteredblockfacesSTREET_NAME,MTA.Parking,MTA.meteredblockfaces,STREET_NAME,Street Name,,,
MTA.meteredblockfacesBLOCKFACE_ORIENTATION,MTA.Parking,MTA.meteredblockfaces,BLOCKFACE_ORIENTATION,Blockface Orientation,,,
MTA.meteredblockfacesSTR_NUM_PARITY,MTA.Parking,MTA.meteredblockfaces,STR_NUM_PARITY,Number Parity,,,
MTA.meteredblockfacesSTR_SEG_ORIENTATION,MTA.Parking,MTA.meteredblockfaces,STR_SEG_ORIENTATION,Segment Orientation,,,
MTA.meteredblockfacesFM_ADDR_NO,MTA.Parking,MTA.meteredblockfaces,FM_ADDR_NO,From Address Number,,,
